"NO_OUV","ADR","ACC_UNI","ASC","TYP_CHA","x","y","Longitude","lat"
1,"275 Rue Notre-Dame E, Montréal","NON","6","Électricité",300577.49577248,5040988.2470098,-73.554039,45.508802
2,"775 Rue Gosford , Montréal","1","12","Vapeur",300598.07532848,5041151.7127915,-73.553777,45.510273
5,"330 Rue Saint-Paul E, Montréal","NON","2","",300784.95749295,5040999.0080487,-73.551384,45.5089
6,"3425 Avenue Émile-Duployé , Montréal","NON","0","",299692.97903199,5043106.7315367,-73.565381,45.527859
12,"155 Rue Notre-Dame E, Montréal","1","4","Vapeur",300505.00954476,5040904.9489679,-73.554966,45.508052
14," Rue Gosford , Montréal","NON","4","Électricité",300446.23202329,5041115.6993146,-73.55572,45.509948
18,"12550 Avenue Alexis-Carrel , Montréal","NON","0","Électricité",297899.21709053,5056054.461562,-73.588528,45.644351
19,"5550 Rue Sherbrooke O, Montréal","NON","?","",295979.85799506,5036878.9802849,-73.612805,45.471782
21,"150 Rue Saint-Paul O, Montréal","NON","?","",300533.25178915,5040380.3983257,-73.5546,45.503332
23,"2355 Rue Mullins , Montréal","NON","0","Électricité",299760.46677837,5037651.94491,-73.564461,45.478775
24,"821 Avenue Ogilvy , Montréal","NON","0","Électricité",294876.78554498,5042972.8086073,-73.627036,45.526602
25,"200 Rue de Bellechasse , Montréal","NON","2","Électricité",296773.72570931,5043429.1726665,-73.602759,45.530733
28,"6110 Rue de Marseille , Montréal","NON","0","Électricité",301713.78420332,5048453.8277666,-73.539544,45.575986
29,"7470 Rue De Normanville , Montréal","2","0","Électricité",295733.0682894,5045137.4575911,-73.616114,45.546092
30,"550 Rue Vinet , Montréal","NON","0","Électricité",298878.1275941,5038234.0311069,-73.575754,45.484006
31,"5005 Rue Du Quesne , Montréal","NON","0","Électricité",300937.51015359,5048765.2078285,-73.549493,45.578784
32,"8216 Boulevard Maurice-Duplessis , Montréal","NON","?","Électricité",298087.41073773,5054838.5741754,-73.586097,45.633412
33,"2060 Rue Dickson , Montréal","NON","0","",302271.41181197,5047475.0632728,-73.532394,45.567181
34,"4799 Boulevard Gouin O, Montréal","NON","0","",288162.67859201,5044157.4629785,-73.713029,45.537134
35,"7455 Boulevard Gouin O, Montréal","NON","0","",286481.11853444,5042846.1263769,-73.734511,45.525292
36,"2574 Rue Fleury E, Montréal","1","0","Électricité",293387.98045504,5048527.1548459,-73.646225,45.576559
37,"10 Rue Chabanel O, Montréal","NON","0","Électricité",293017.28450078,5044925.387117,-73.650888,45.544143
38,"10827 Rue Lajeunesse , Montréal","NON","0","Électricité",291498.21632828,5046255.0054836,-73.670377,45.55608
39,"1945 Rue Fleury E, Montréal","NON","0","Électricité",292855.22977662,5047740.9989473,-73.653032,45.569476
40,"10905 Rue Berri , Montréal","1","0","Électricité",291289.88853431,5046239.3339706,-73.673045,45.555935
41,"12137 Avenue du Bois-de-Boulogne , Montréal","NON","0","Électricité",289346.55982371,5044938.138348,-73.697895,45.544186
42,"6396 Rue Cabrini , Montréal","NON","0","Électricité",299926.95909818,5049078.5280777,-73.562445,45.581597
43,"10555 Rue Lajeunesse , Montréal","NON","0","",291876.08007179,5046133.6337659,-73.665534,45.554995
44,"999 Rue de Louvain E, Montréal","NON","1","Gaz naturel",293245.73819321,5046305.3203412,-73.647995,45.556564
45,"2350 Rue Sauvé E, Montréal","NON","0","Électricité",293660.56265433,5047945.2186635,-73.642719,45.571327
46,"2244 Rue Sauvé E, Montréal","NON","0","",293637.41787111,5047833.0178312,-73.643013,45.570317
47,"1535 Boulevard Gouin E, Montréal","NON","0","",292032.07228146,5047246.081166,-73.663565,45.565008
48,"12225 Rue Cousineau , Montréal","NON","0","Électricité",287414.09414928,5043087.6296926,-73.722576,45.527489
50,"95 Boulevard Gouin O, Montréal","NON","0","",290959.13918915,5045658.2778731,-73.677265,45.5507
51,"12377 Rue Notre-Dame-des-Anges , Montréal","NON","0","Électricité",287838.27220419,5044019.0896194,-73.717178,45.535881
52,"1655 Rue Dudemaine , Montréal","NON","0","Électricité",290082.16141226,5044371.9236834,-73.688458,45.539107
54,"6333 Rue Saint-Jacques , Montréal","NON","0","",295419.37646802,5035919.8476865,-73.619955,45.463144
55,"1655 Avenue Papineau , Montréal","NON","0","",300514.66007804,5042684.7007922,-73.554858,45.524067
56,"969 Rue de Louvain E, Montréal","1","0","",293200.22396875,5046179.168162,-73.648575,45.555428
57,"75 Rue Ontario E, Montréal","NON","0","Électricité",299569.67491067,5041369.9638623,-73.566941,45.51223
59,"137 Boulevard de Maisonneuve E, Montréal","NON","0","Électricité",299734.00617089,5041389.9457914,-73.564838,45.512411
62,"3250 Rue Sainte-Catherine E, Montréal","NON","0","Électricité",301651.67436096,5044443.0105464,-73.540314,45.539895
64,"8650 Avenue Querbes , Montréal","1","0","Électricité",293521.15781425,5043819.590359,-73.64441,45.534201
65,"3819 Avenue Calixa-Lavallée , Montréal","NON","1","Électricité",299381.94316934,5043018.9730642,-73.569362,45.527067
66,"4020 Avenue du Parc-La Fontaine , Montréal","NON","0","",299241.49079274,5042836.7254693,-73.571158,45.525426
68,"3933 Avenue du Parc-La Fontaine , Montréal","NON","1","Gaz naturel",299373.24944107,5042810.1629048,-73.569471,45.525188
70,"4350 Rue de Rouen , Montréal","NON","?","Électricité",301508.12886472,5046058.4965118,-73.542163,45.554431
71,"3500 Avenue Émile-Duployé , Montréal","NON","0","",299550.76151511,5043131.0738868,-73.567202,45.528077
73,"5855 Rue Turenne , Montréal","NON","0","Électricité",300590.7590695,5048626.9644819,-73.553935,45.577538
74,"4101 Rue Sherbrooke E, Montréal","6","0","",300275.95372504,5046494.3385898,-73.557949,45.558346
75,"1450 Rue Rachel , Montréal","4","0","",299274.12939118,5043176.878309,-73.570744,45.528487
76,"4644 Rue Beaubien E, Montréal","NON","0","Électricité",299049.63489189,5047597.7751199,-73.57367,45.568266
77,"5 Avenue Laurier O, Montréal","NON","0","Électricité",297514.12781954,5042570.3397513,-73.593267,45.523013
79,"2151 Avenue du Mont-Royal E, Montréal","NON","0","Électricité",299184.65987456,5044014.5491811,-73.571899,45.536024
80,"5455 Rue de Louisbourg , Montréal","NON","0","Électricité",288556.36261143,5043155.1362099,-73.707955,45.528124
81,"7330 Rue Coffee , Montréal","NON","0","Électricité",293915.92236347,5035046.7933983,-73.639161,45.455266
82,"4355 Rue Fullum , Montréal","NON","0","Électricité",299508.41464517,5044140.0712995,-73.567755,45.537156
83,"2335 Rue Gilford , Montréal","NON","0","Électricité",299048.03471799,5044413.7477213,-73.573653,45.539615
84,"4375 Rue Ontario E, Montréal","4","1","Électricité",301639.73079499,5045989.6298632,-73.540477,45.553812
85,"5252 Avenue Decelles , Montréal","NON","0","Électricité",295432.9284562,5039710.2636282,-73.619854,45.497252
86,"4920 Rue Vézina , Montréal","1","0","",293560.42806119,5039407.6144093,-73.643806,45.494501
87,"2980 Rue Viau , Montréal","1","3","Électricité",300873.44545961,5046912.5689674,-73.550299,45.562113
88,"4101 Rue Sherbrooke E, Montréal","2","4","",300402.2189929,5046313.7711571,-73.55633,45.556722
89,"4101 Rue Sherbrooke E, Montréal","1","0","",300372.58278259,5046360.2456439,-73.55671,45.55714
90,"4955 Avenue Trenholme , Montréal","NON","0","Électricité",293132.78571229,5035342.2419221,-73.649181,45.457912
91,"4101 Rue Sherbrooke E, Montréal","NON","0","",300307.39631722,5046469.7562165,-73.557546,45.558125
92,"4455 Boulevard Pie-IX , Montréal","2","0","",300333.07333439,5046241.0341347,-73.557215,45.556067
93,"4493 Rue Ontario E, Montréal","NON","0","Électricité",301652.13626683,5046140.6544437,-73.540319,45.555171
94,"1111 Rue Peel , Montréal","NON","0","",299398.5635322,5039820.3942607,-73.569114,45.498285
95,"1000 Avenue Émile-Journault E, Montréal","7","6","Électricité",294083.05805216,5045892.6505004,-73.637261,45.552864
96,"411 Avenue Letourneux , Montréal","1","0","Électricité",302372.61043826,5045551.6675806,-73.531088,45.549874
97,"4601 Rue Sherbrooke E, Montréal","NON","0","Mazout no. 2",300239.97455739,5046937.1113368,-73.558414,45.56233
98,"4200 Rue Ontario E, Montréal","NON","1","Électricité",301656.12845324,5045695.9015055,-73.540265,45.551169
99,"4601 Rue Sherbrooke E, Montréal","1","0","Électricité",300485.33730385,5046838.2617935,-73.55527,45.561442
100,"4120 Rue Ontario , Montréal","1","1","Électricité",301631.58145578,5045632.795413,-73.540579,45.550601
