"ID","MUNID","ARRID","CATEG","SOUSCATEG","NOM","NO_CIV","GENERIQUE","SPECIFIQUE","EMPLACEMENT","Étage","Bureau","Ville","Code postal","Site internet","Téléphone","Poste","Latitude ","Longitude"
37,66023,"REM19","Santé et sécurité publique","Casernes de pompiers","Caserne 19",2000,"avenue","De Lorimier","2000 avenue De Lorimier",,,"Montréal","H2K 4N9","http://ville.montreal.qc.ca/portal/page?_pageid=467710167591&_dad=portal&_schema=PORTAL",911,,"45.528018","-73.557898"
14,66023,"REM19","Lieux et bâtiments d'intérêt","Lieux récréatifs","Centre Bell",1909,"avenue","des Canadiens-de-Montréal","1909 avenue des Canadiens-de-Montréal",,,"Montréal","H4B 5G0","http://www.centrebell.ca","514 932-2582",,"45.496309","-73.569862"
21,66023,"REM19","Lieux et bâtiments d'intérêt","Lieux récréatifs","Stade Percival-Molson",475,"avenue","des Pins Ouest","475 avenue des Pins Ouest",,,"Montréal","H2W 1S4","http://fr.montrealalouettes.com/page/stade-percival-molson_102967","514 787-2500",,"45.51014","-73.580707"
40,66023,"REM19","Santé et sécurité publique","Casernes de pompiers","Quartier général du Service de sécurité incendie de Montréal",4040,"avenue","du Parc","4040 avenue du Parc",,,"Montréal","H2W 1S8","http://ville.montreal.qc.ca/portal/page?_pageid=4677,10107569&_dad=portal&_schema=PORTAL",,,"45.512550","-73.583754"
44,66023,"REM19","Santé et sécurité publique","Postes de police de quartier","Poste de quartier 22",1200,"avenue","Papineau","1200 avenue Papineau",,,"Montréal","H2K 4R5","http://www.spvm.qc.ca/fr/pdq22/","514 280-0122",,"45.521635","-73.550833"
5,66023,"REM19","Arts et culture","Bibliothèques","Centre d’archives de Montréal",535,"avenue","Viger Est","535 avenue Viger Est",,,"Montréal","H2L 2P3","http://www.banq.qc.ca/a_propos_banq/informations_pratiques/centres_archives/index.html","514 873-1100",,"45.513233","-73.554764"
80,66023,"REM19","Sports et loisirs","Centres communautaires et de loisirs","Union française de Montréal",429,"avenue","Viger Est","429 avenue Viger Est",,,"Montréal","H2L 2N9","http://unionfrancaise.ca/public/","514 845-5195",,"45.512290","-73.555389"
96,66023,"REM19","Sports et loisirs","Jardins aménagés","Jardin Biodiversité et pollinisateurs",2001,"boulevard","De Maisonneuve Est","2001 boulevard De Maisonneuve Est",,,"Montréal",,"http://www.sentierurbain.org/index.html","514 521-9292 ",,"45.525191","-73.551990"
24,66023,"REM19","Ressources","Services municipaux","Bureau d’arrondissement de Ville-Marie",800,"boulevard","De Maisonneuve Est","800 boulevard De Maisonneuve Est","17e étage",,"Montréal","H2L 4L8","http://ville.montreal.qc.ca/portal/page?_pageid=7317,84222189&_dad=portal&_schema=PORTAL",311,,"45.516196","-73.559982"
25,66023,"REM19","Ressources","Services municipaux","Bureau Accès Montréal (Place Dupuis)",800,"boulevard","De Maisonneuve Est","800 boulevard De Maisonneuve Est","17e étage",,"Montréal","H2L 4L9","http://ville.montreal.qc.ca/portal/page?_pageid=7317,84222189&_dad=portal&_schema=PORTAL",311,,"45.516196","-73.559982"
