sold_date|city|num_bed|year_built|askprice|longtitude|num_room|num_bath|living_area|data_code|address|latitude|property_type|num_parking|sellingprice
|Villeray / St-Michel / Parc-Extension|1| 2005|166000|-73.616994622753910000|3|1|50.82|478801|1-7426, rue Saint-André|45.542667428997056000|Condo||
|Lasalle|2| 2005|349000|-73.665354799999990000|4|2|102.01|558737|4-9895, boulevard Lasalle|45.428590500000000000|Condo|1|
|Griffintown|2||775000|-73.556355473610670000||2||403818|1011-1085, rue Smith|45.492687408387500000|Condo|1|
|Anjou|2| 1988|224900|-73.571262800000000000|5|1|92.53|553096|102-6945, avenue Champchevrier|45.600799300000000000|Condo|1|
|Saint-Laurent|5||585000|-73.734174800000000000|12|2||565869|2855, rue l'Heureux|45.521694400000000000|Maison à paliers multiples||
|Ville-Marie (Centre-Ville et Vieux Mtl)|1| 2011|312900|-73.560891200000010000|4|1|75.34|561345|304-2160, rue Cartier|45.527532699999990000|Condo||
|Ahuntsic / Cartierville|4| 1953|485000|-73.701139599999970000|11|3|168.15|530621|11825, rue Guertin|45.531549100000000000|Maison 2 étages||
|Côte-des-Neiges / Notre-Dame-de-Grâce|2| 2011|286000|-73.652367435937490000|4|1|72.00|558340|301-7525, avenue Mountain Sights|45.496708149061030000|Condo|1|
|Le Plateau-Mont-Royal|3| 1910|725000|-73.571850900000020000|6|2|133.04|563848|4000, avenue du Parc la Fontaine|45.524258499999990000|Condo||
|Lasalle|6||439000|-73.592305099999980000||2||563359|329-331, avenue Lacharité|45.434760399999990000|Duplex||
|Montréal-Nord|3||515000|-73.619123599999970000||2||565590|11259, avenue Arthur Buies|45.604838600000000000|Duplex||
|Côte-des-Neiges / Notre-Dame-de-Grâce|2||278000|-73.612352900000020000|5|1|83.61|562698|106-3475, avenue Ridgewood|45.494131000000000000|Condo|1|
|Mercier / Hochelaga / Maisonneuve|2||479000|-73.548957799999980000||1||564004|2064-2066, rue Préfontaine|45.540615700000000000|Duplex||
|Pointe-Aux-Trembles / Montréal-Est|| 2001|329500|-73.504976800000010000|7|1|127.09|562977|3440, rue Marie Le Franc|45.677597600000000000|Jumelé||
|Mercier / Hochelaga / Maisonneuve|2| 2012|225000|-73.544827400000030000|4|1|62.62|561344|6-2140, avenue Charlemagne|45.549919500000000000|Condo||
|Côte-St-Luc / Hampstead / Montréal-Ouest|||968000|-73.640938699999990000|14|3|288.00|559488|68, avenue Ballantyne North|45.451621400000000000|Maison 3 étages||
|Outremont|2| 1923|509000|-73.618473000000000000|5|1|114.92|562279|878, avenue McEachran|45.519103700000000000|Condo||
|Dollard-Des-Ormeaux|3| 2009|359000|-73.805238199999960000|8|2|109.81|451775|202-4025, boulevard des Sources|45.492154700000000000|Condo|1|
|Ville-Marie (Centre-Ville et Vieux Mtl)|2| 2002|420000|-73.553805500000010000|4|1|78.97|562206|27-50, rue McGill|45.499027600000000000|Condo|1|
|Beaconsfield / Baie-D'Urfé|5| 1966|529000|-73.893446100000000000|10|2|120.77|562675|551, rue Stephen-Walsh|45.430751800000000000|Bungalow||
|Verdun|1| 2009|299950|-73.570198600000030000|5|1|77.39|562391|D-3030, boulevard Lasalle|45.473447900000000000|Condo||
|Le Plateau-Mont-Royal|||469000|-73.569954400000030000||||562976|416, rue Cherrier|45.518323100000000000|Bureau pour professionnel||
|Le Plateau-Mont-Royal|1| 1910|295000|-73.566246600000000000|4|1|68.47|497224|4157, avenue des Érables|45.533150200000000000|Condo||
|Rosemont / La Petite Patrie|| 2011|865000|-73.585663200000000000|8|2|157.94|560343|5949, 1ere avenue|45.548309100000000000|Maison en rangée / de ville||
|Rosemont / La Petite Patrie|| 1950|589000|-73.566293799999980000|10|1|176.52|517833|4971, boulevard Rosemont|45.569536700000000000|Maison 2 étages||
|Montréal-Nord|| 1962|399000|-73.631827296364580000|8|1|113.53|480098|5602, rue Roy|45.615041087408330000|Maison à paliers multiples||
|Rosemont / La Petite Patrie|2||499500|-73.578063400000020000||1||552988|6402-04, 24e avenue|45.563582600000000000|Duplex||
|Ahuntsic / Cartierville|1| 1984|199000|-73.677131376174880000|3|1|68.93|560005|11304, rue Meunier|45.548040066563180000|Condo|1|
|Ahuntsic / Cartierville|| 1951|469000|-73.664122785180670000|8|1|135.64|562860|10401, rue Berri|45.553368500000010000|Jumelé||
|Rosemont / La Petite Patrie|2| 2009|259900|-73.571339500000020000|4|1|78.50|561339|202-5295, 12e avenue|45.551274199999990000|Condo||
|Le Sud-Ouest|2| 2010|265000|-73.592328800000020000|4|1|76.40|562820|6-5201, rue Philippe-Lalonde|45.467437200000000000|Condo||
|Griffintown|2| 2001|549000|-73.565645400000000000|6|2| 136|560287|425B, rue Versailles|45.491267200000000000|Condo||
|Ahuntsic / Cartierville|10||929000|-73.670931800000000000||4||561375|10710, Grande-Allée|45.551310400000000000|Triplex||
|Verdun|2| 1910|288000|-73.567938400000000000|4|2|114.46|450175|339, rue Hickson|45.464959400000000000|Condo||
|Griffintown|1| 2013|249000|-73.560233300000000000||1||321810|718-225, rue de la Montagne|45.492078900000000000|Condo|1|
|Pointe-Claire|| 1988|777000|-73.821096399999990000|11|2|204.39|562965|296, avenue Hickory|45.444422600000000000|Maison 2 étages||
|Ahuntsic / Cartierville|3||799000|-73.647355000000000000||3||561706|10070, avenue Merritt|45.570215000000000000|Quadruplex||
|Beaconsfield / Baie-D'Urfé|| 1966|595000|-73.840462099999970000|11|2|201.51|560021|107, croissant Chartwell|45.442757600000000000|Maison 2 étages||
|L'île-Bizard / Sainte-Geneviève|| 1988|430000|-73.882222899999990000|13|2||561315|899, rue Thibaudeau|45.498657800000000000|Maison 2 étages||
|Rosemont / La Petite Patrie|2| 1987|379500|-73.569921000000020000|7|1|117.80|563485|304-5325, 15e avenue|45.553635300000000000|Condo|1|
|Pierrefonds / Roxboro|2| 2011|338000|-73.904268393293020000|7|2||504848|19417, rue du Sulky|45.455664097973760000|Condo|1|
|Le Plateau-Mont-Royal|||495000|-73.581167000000000000||||558788|103-77, rue Rachel Est|45.518732600000000000|Commerce de détail||
|Le Plateau-Mont-Royal|1| 2003|565000|-73.568427999999980000|5|1|108.70|536091|105-A-3423, avenue Henri Julien|45.516401400000000000|Condo|1|
|Lasalle|2| 2004|269000|-73.619473400000000000|4|1|102.19|524734|8605, rue Centrale|45.417515599999990000|Condo||
|Côte-St-Luc / Hampstead / Montréal-Ouest|| 1956|659000|-73.653559500000030000||2|204.39|562418|6701, chemin Kirwan|45.471520200000000000|Jumelé||
|Verdun|3||255000|-73.574288599999990000||1||563674|905, rue Rielle - Projet AdHoc|45.460655200000000000|Condo||
|Rosemont / La Petite Patrie|2||549900|-73.576271000000020000||1||564374|5720, 16 Avenue|45.556039299999990000|Duplex||
|Saint-Laurent|| 2006|575000|-73.713249300000030000|13|2|195.10|530981|2791, rue de l'Écu|45.511208200000000000|Maison en rangée / de ville||
|Villeray / St-Michel / Parc-Extension|1| 1990|189000|-73.618324200000020000|3|1|50.54|560792|107-1400, rue Tillemont|45.549358600000000000|Condo||
|Pointe-Aux-Trembles / Montréal-Est|2| 2010|209000|-73.495066000000010000|5|1|94.48|564342|6-15856, rue Victoria|45.664115700000000000|Condo||
|Mercier / Hochelaga / Maisonneuve|2| 2008|299500|-73.537331000000000000|6|1|102.19|559193|207-2097, rue Viau|45.559835000000000000|Condo||
|Verdun|3| 2012|399000|-73.575948600000000000|5|2||455333|307-3995, avenue Bannantyne|45.464223500000000000|Condo|1|
|Ahuntsic / Cartierville|| 1951|525000|-73.707421200000000000|6|2|118.17|563195|12100, rue Dépatie|45.534507600000000000|Maison 2 étages||
|Dorval / L'Île Dorval|1| 2011|230000|-73.726002280920400000|4|1|70.33|498535|2117-479, rue Mousseau-Vermette|45.446749200312700000|Loft|1|
|Le Sud-Ouest|| 2015|215500|-73.582292199999980000||1|77.11|565246|D4-1490, avenue de l'Église|45.463571800000000000|Condo||
|Lasalle|2| 2013|467000|-73.612540500000020000||2||564656|Quartier A - Unité 601 - Phase 2 - Tour Alfa - 1900 rue Angrignon|45.448962300000000000|Condo||
|Mercier / Hochelaga / Maisonneuve|| 1983|509000|-73.547985900000010000|8|2|121.52|562864|2051, rue Saint Germain|45.542099900000000000|Maison en rangée / de ville||
|Rosemont / La Petite Patrie|2| 1910|450000|-73.613361500000000000|5|2|89.47|562859|6719, rue Clark|45.531597000000000000|Condo||
|Le Sud-Ouest|2| 2011|278000|-73.593335211141600000|6|1||558679|608-680, rue de Courcelle|45.474802763447600000|Condo||
|Côte-des-Neiges / Notre-Dame-de-Grâce|2| 1996|364000|-73.625816900000020000|7|2|93.37|560028|304-5555, chemin de la Côte-des-Neiges|45.498158400000010000|Condo|1|
